id,date,symbol,score,signal_strength,entry,sl,sl_pct,t1,t2,rr_t1,rr_t2,sector,layers_passed,layer1,layer2,layer3,layer4,layer5,bulk_buyers,pcr,call_oi_chg,put_oi_chg,status,current_price,exit_price,pnl_pct,pnl_pts,exit_date,exit_reason,t1_hit,days_held,progress_pct,dist_sl_pct,dist_t2_pct,last_updated,reasons
30,2026-06-13,LT,7.0,GOOD,4049.3,3948.07,2.5,4292.26,4454.23,2.4,4.0,Nifty Infra,4,2.0,2.0,1.0,2.0,0.0,,,,,OPEN,4192.6,4192.6,3.54,143.3,,,False,11,35.4,5.83,6.24,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Infra above EMA20
31,2026-06-13,BSE,7.0,GOOD,4041.1,3940.07,2.5,4283.57,4445.21,2.4,4.0,Nifty Finance,4,2.0,2.0,1.0,2.0,0.0,,,,,SL HIT,3904.5,3904.5,-3.38,-136.6,2026-06-24,SL Hit,False,11,-33.8,-0.91,13.85,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Finance above EMA20
32,2026-06-13,LICHSGFIN,7.0,GOOD,559.5,545.51,2.5,593.07,615.45,2.4,4.0,Nifty Finance,4,1.0,2.0,2.0,2.0,0.0,,,,,SL HIT,542.15,542.15,-3.1,-17.35,2026-06-24,SL Hit,False,11,-31.0,-0.62,13.52,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed | Nifty Finance above EMA20
33,2026-06-13,AUBANK,7.0,GOOD,1015.5,990.11,2.5,1076.43,1117.05,2.4,4.0,Nifty Bank,4,1.0,2.0,2.0,2.0,0.0,,,,,OPEN,1045.2,1045.2,2.92,29.7,,,False,11,29.2,5.27,6.87,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed | Nifty Bank above EMA20
34,2026-06-15,ABCAPITAL,7.0,GOOD,367.85,358.65,2.5,389.92,404.64,2.4,4.0,Nifty Finance,4,1.0,2.0,2.0,2.0,0.0,,,,,OPEN,382.9,382.9,4.09,15.05,,,False,9,40.9,6.33,5.68,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed | Nifty Finance above EMA20
35,2026-06-15,RBLBANK,7.0,GOOD,370.45,361.19,2.5,392.68,407.5,2.4,4.0,Nifty Bank,4,2.0,2.0,1.0,2.0,0.0,,,,,OPEN,373.95,373.95,0.94,3.5,,,False,9,9.4,3.41,8.97,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Bank above EMA20
36,2026-06-16,SIEMENS,7.0,GOOD,3639.3,3548.32,2.5,3857.66,4003.23,2.4,4.0,Nifty Infra,4,2.0,2.0,2.0,1.0,0.0,,,,,OPEN,3610.0,3610.0,-0.81,-29.3,,,False,8,-8.1,1.71,10.89,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed
37,2026-06-16,HDFCAMC,7.0,GOOD,2633.8,2567.95,2.5,2791.83,2897.18,2.4,4.0,Nifty Finance,4,1.0,2.0,2.0,2.0,0.0,,,,,OPEN,2674.4,2674.4,1.54,40.6,,,False,8,15.4,3.98,8.33,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed | Nifty Finance above EMA20
38,2026-06-17,COFORGE,8.0,GOOD,1478.3,1441.34,2.5,1567.0,1626.13,2.4,4.0,Nifty IT,4,2.0,2.0,2.0,2.0,0.0,,,,,SL HIT,1421.9,1421.9,-3.82,-56.4,2026-06-19,SL Hit,False,2,-38.2,-1.37,14.36,2026-06-19 09:34 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed
39,2026-06-17,GAIL,7.0,GOOD,175.83,171.43,2.5,186.38,193.41,2.4,4.0,Nifty Energy,4,2.0,2.0,1.0,2.0,0.0,,,,,OPEN,174.65,174.65,-0.67,-1.18,,,False,7,-6.7,1.84,10.74,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Energy above EMA20
40,2026-06-17,NAUKRI,7.0,GOOD,1022.0,996.45,2.5,1083.32,1124.2,2.4,4.0,Nifty 50,4,1.0,2.0,2.0,2.0,0.0,,,,,SL HIT,965.8,965.8,-5.5,-56.2,2026-06-19,SL Hit,False,2,-50,-3.17,16.4,2026-06-19 09:34 IST,BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed | Nifty 50 above EMA20
41,2026-06-17,DMART,7.0,GOOD,4239.5,4133.51,2.5,4493.87,4663.45,2.4,4.0,Nifty 50,4,1.0,2.0,2.0,2.0,0.0,,,,,OPEN,4389.5,4389.5,3.54,150.0,,,False,7,35.4,5.83,6.24,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed | Nifty 50 above EMA20
42,2026-06-17,BANDHANBNK,7.0,GOOD,214.31,208.95,2.5,227.17,235.74,2.4,4.0,Nifty Bank,4,2.0,1.0,2.0,2.0,0.0,,,,,SL HIT,208.93,208.93,-2.51,-5.38,2026-06-19,SL Hit,False,2,-25.1,-0.01,12.83,2026-06-19 12:38 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Liquidity grab below swing low | OBV uptrend confirmed | Nifty Bank above EMA20
43,2026-06-17,COFORGE,8.0,GOOD,1478.3,1441.34,2.5,1567.0,1626.13,2.4,4.0,Nifty IT,4,2.0,2.0,2.0,2.0,0.0,,,,,SL HIT,1421.9,1421.9,-3.82,-56.4,2026-06-19,SL Hit,False,2,-38.2,-1.37,14.36,2026-06-19 09:34 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed
44,2026-06-17,GAIL,7.0,GOOD,175.83,171.43,2.5,186.38,193.41,2.4,4.0,Nifty Energy,4,2.0,2.0,1.0,2.0,0.0,,,,,OPEN,174.65,174.65,-0.67,-1.18,,,False,7,-6.7,1.84,10.74,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Energy above EMA20
45,2026-06-17,NAUKRI,7.0,GOOD,1022.0,996.45,2.5,1083.32,1124.2,2.4,4.0,Nifty 50,4,1.0,2.0,2.0,2.0,0.0,,,,,SL HIT,965.8,965.8,-5.5,-56.2,2026-06-19,SL Hit,False,2,-50,-3.17,16.4,2026-06-19 09:34 IST,BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed | Nifty 50 above EMA20
